"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,148374914,162498248
2020,148378998,162502272
2020,133541407,147378993
2020,133531299,147378993
2020,133541423,147375836
2020,148379021,162502265
2020,148379020,162502265
2020,133536753,147376107
2020,133536753,147376106
2020,148379085,162502386
2020,148379117,162502411
2020,148379117,162498432
2020,148375157,162498526
2020,148375157,162498521
2020,148379249,162502545
2020,148379299,162498612
2020,148379323,162498622
2020,148379558,162502883
2020,148379610,162498841
2020,148379640,162498858
2020,148379663,162498892
2020,148375563,162502981
2020,148375562,162502983
2020,148375562,162502980
2020,148379683,162502980
2020,148379676,162503019
2020,148379814,162503147
2020,148379844,162503171
2020,148379979,162499126
2020,148379992,162499136
2020,148375890,162499208
2020,148380258,162499365
2020,148380308,162503620
2020,148380310,162499404
2020,148380310,162499405
2020,148380345,162499422
2020,148380349,162499439
2020,148376088,162499450
2020,148380459,162499511
2020,148380501,162499547
2020,148380524,162503878
2020,148380553,162499591
2020,148376305,162499676
2020,148376310,162499658
2020,148376319,162504040
2020,148380721,162499715
2020,148380758,162504108
2020,148376372,162504104
2020,148380778,162499724
2020,148376414,162499791
2020,148380940,162499881
2020,148380940,162499882
2020,148380955,162504292
2020,148380955,162504291
2020,148380961,162504207
2020,148380974,162504299
2020,148381018,162504360
2020,148376582,162504381
2020,148376595,162499989
2020,148381074,162499989
2020,148381152,162500079
2020,148381161,162504493
2020,148381190,162504529
2020,148376741,162504579
2020,148381237,162504579
2020,148376698,162504530
2020,148381275,162504624
2020,148381338,162504689
2020,148376839,162504716
2020,148381339,162504691
2020,133538023,147373056
2020,133534511,147381872
2020,133534782,147374025
2020,133534798,147377648
2020,133540127,147378011
2020,133540370,147374757
2020,133541329,147375719
2020,133533483,147369867
2020,133534712,147373954
2020,133530369,147382881
2020,133535337,147382929
2020,133530709,147383447
2020,133530910,147375345
2020,133530950,147375382
2020,133536541,147379030
2020,133536542,147379028
2020,133536542,147375869
2020,133536541,147379031
2020,133537029,147384915
2020,133531893,147379627
2020,132998072,146795860
2020,132998240,146821548
2020,133537302,147379683
2020,133537341,147385289
2020,133537406,147386816
2020,133537572,147385620
2020,133537590,147387030
2020,133537624,147387062
2020,133537699,147387155
2020,133537720,147385871
2020,133537899,147380292
2020,132992837,146795966
2020,132992837,146795965
2020,133528815,147369343
2020,133541785,147379256
2020,132992869,146814026
2020,133537871,147386085
2020,133547928,147380323
2020,148404330,162525539
2020,148404330,162525540
2020,148404515,162525665
