"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,136260083,1,1,16345179
2020,5,136260181,2,1,16348454
2020,12,136258107,1,11,16345200
2020,12,136258296,3.5,1,16348492
2020,12,136258310,2.5,1,16345212
2020,12,136258415,2.6,1,16348504
2020,5,136260896,4,1,16348535
2020,12,136264628,1,11,16345308
2020,5,136261562,9,1,16345319
2020,5,136261898,0.1,1,16345352
2020,5,136265352,4,1,16348667
2020,5,136262088,22,1,16345378
2020,5,136265388,1,11,16345380
2020,5,136266022,1,11,16345425
2020,1,136262781,1,11,16345441
2020,8,136262807,1,9,16345443
2020,16,136267674,1,9,16348910
2020,5,136267695,1,11,16348915
2020,5,136267711,2,1,16348918
2020,12,136264131,0.9,1,16345581
2020,5,136267991,1,11,16345591
2020,12,136264352,1,1,16345607
2020,2,136264473,1,11,16345629
2020,1,136268379,1,11,16348985
2020,1,136269594,1,11,16345651
2020,5,136269602,1,11,16345653
2020,5,136269783,1,1,16345672
2020,5,136269811,5,1,16349025
2020,12,136269870,1,11,16345688
2020,5,136270028,2,1,16349071
2020,5,136270045,1,11,16349078
2020,5,136269433,1,11,16349131
2020,5,136270297,1,11,16345755
2020,12,136270345,1,11,16345762
2020,2,136269543,1,11,16349154
2020,5,136270408,1,11,16345776
2020,5,136274642,4,1,16349175
2020,5,136274663,1,11,16349177
2020,5,136274671,1,1,16349180
2020,5,136270442,26,1,16345787
2020,5,129536456,1.6,1,15000403
2020,12,136270482,1,11,16345799
2020,12,128754694,4,9,14877496
2020,8,129119580,1,9,14927141
2020,5,128897766,5,1,14902884
2020,5,129536460,1.9,1,15000407
2020,2,129536458,3,1,15000405
2020,8,129532579,2,9,15005607
2020,2,129532590,0.8,1,15005613
2020,5,129536459,3.28,1,15000406
2020,7,129536483,38,9,15000418
2020,5,129536476,0.2,1,15000414
2020,5,129536478,1,1,15000415
2020,5,129536455,0.2,1,15000402
2020,12,129532640,7,1,15000423
2020,1,129536482,1.1,1,15000417
2020,12,128754599,5,1,14857874
2020,5,136247422,1,1,16347674
2020,12,136247460,68,1,16347685
2020,16,136251094,12,9,16344642
2020,5,136248024,1,11,16344648
2020,5,136248296,2.4,1,16347838
2020,5,136251375,2,1,16347847
2020,5,136251593,10.4,1,16344706
2020,5,136253411,350,1,16348109
2020,2,136253550,6,9,16344921
2020,5,136253830,1,1,16348186
2020,5,136253900,28,1,16344966
2020,5,136257028,5.9,1,16345033
2020,7,136257249,4,9,16348319
2020,5,136254554,1,1,16348327
2020,12,136259599,1.5,1,16345092
2020,12,136260070,1.5,1,16345177
2020,8,136257978,1,11,16348443
2020,5,136258229,1,11,16348477
2020,2,136260318,1,1,16345208
2020,5,136258312,1,1,16348491
2020,16,136258328,1,9,16348489
2020,5,136258337,1.5,1,16348494
2020,8,136258875,1,9,16345257
2020,12,136258932,1,11,16345263
2020,5,136260978,1,1,16345268
2020,5,136261144,1,11,16345287
2020,12,136259442,1,11,16348582
2020,5,136259495,18,1,16348588
2020,5,136261560,1,11,16345318
