"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,37610295,1,37920717
2020,37605354,1,37915822
2020,37610025,1,37920429
2020,37610024,1,37920428
2020,37615016,1,37925438
2020,37605418,1,37920487
2020,37610104,1,37920518
2020,37610119,1,37920537
2020,37610335,1,37920757
2020,37610356,1,37920775
2020,37610357,1,37920776
2020,37609933,1,37920343
2020,37609934,1,37920345
2020,37513673,1,37830783
2020,37523934,1,37826820
2020,37609963,1,37920375
2020,37615000,1,37920458
2020,37605403,1,37915872
2020,37605414,1,37920482
2020,37610284,1,37920705
2020,37610404,1,37920820
2020,37615178,1,37916107
2020,37605658,1,37916114
2020,37615194,7,37925623
2020,37610425,1,37920840
2020,37605668,1,37916125
2020,37610427,1,37920842
2020,37610429,1,37920844
2020,37605671,1,37916129
2020,37605672,1,37916130
2020,37610431,1,37916133
2020,37605674,1,37916132
2020,37605678,1,37916138
2020,37605679,1,37916139
2020,37605680,1,37916140
2020,37610436,1,37920848
2020,37605681,1,37916141
2020,37605682,1,37916142
2020,37605683,1,37916143
2020,37605684,1,37916144
2020,37605685,1,37916145
2020,37605686,22,37916146
2020,37605687,1,37916147
2020,37605688,3,37916148
2020,37610444,1,37920854
2020,37610445,5,37920855
2020,37605693,1,37920856
2020,37610449,1,37920859
2020,37610450,1,37920860
2020,37605695,1,37920861
2020,37610453,1,37920864
2020,37605697,3,37916158
2020,37605699,1,37916159
2020,37605700,1,37916160
2020,37605703,1,37916163
2020,37605706,1,37916166
2020,37605707,1,37916167
2020,37610459,1,37920871
2020,37610460,3,37920872
2020,37610462,1,37920874
2020,37605709,8,37916169
2020,37610464,1,37920876
2020,37610463,1,37920875
2020,37605710,1,37916170
2020,37518321,1,37823157
2020,37513973,1,37831095
2020,37514133,1,37831251
2020,37316056,1,37613136
2020,37312589,1,37613134
2020,37312997,3,37622078
2020,37319878,1,37617404
2020,37518124,1,37822970
2020,42024255,1,42450026
2020,42024298,1,42450048
2020,42024321,1,42449706
2020,42026991,1,42449708
2020,42024366,1,42449752
2020,42024380,1,42449765
2020,42024404,1,42449793
2020,42027028,1,42449815
2020,42024426,1,42449782
2020,37315478,1,37616139
2020,37319512,1,37613413
2020,37319758,1,37617301
2020,37518144,1,37822990
2020,37522606,1,37823020
2020,37518175,1,37823024
2020,37518174,1,37823023
2020,37518293,1,37825615
2020,37522731,1,37825614
2020,37523128,1,37831568
2020,37518808,1,37823651
2020,37523310,1,37823665
2020,37513678,1,37830790
2020,37522769,1,37825654
2020,37513989,1,37825689
2020,37522972,1,37825854
2020,37514493,2,37831611
2020,37523260,1,37826147
2020,37518767,1,37831732
2020,37524674,1,37831781
2020,37524687,1,37826200
2020,37524874,1,37826375
2020,37523499,1,37823815
2020,37523513,1,37826407
2020,37316256,1,37616891
2020,37316287,1,37621738
2020,41701518,1,42106591
2020,41706101,1,42104460
2020,37312350,1,37612896
2020,37312421,1,37612956
2020,41701553,1,42104489
2020,37320126,1,37622515
2020,37320124,1,37622513
2020,37320125,1,37622514
2020,37317003,1,37617625
2020,41701709,22,42104641
2020,41701792,1,42104718
2020,41706438,1,42106956
2020,41706488,1,42107002
2020,41701837,1,42104768
2020,41701905,1,42107110
2020,41701964,1,42104900
2020,41701970,1,42107213
2020,41702026,1,42107284
2020,41702025,1,42109963
2020,41706779,1,42109968
2020,41706790,1,42107289
2020,41706746,1,42107256
2020,41702105,1,42110042
2020,41702113,1,42110050
2020,41702120,1,42110057
2020,41702174,1,42107471
2020,41706972,1,42107489
2020,41707050,1,42107564
2020,41702226,1,42110157
2020,41702231,1,42107554
2020,41702243,1,42107581
2020,41702280,1,42107628
2020,41702298,1,42110220
2020,41702322,1,42107680
2020,41707162,1,42107662
2020,41707185,1,42110267
2020,41702354,1,42107720
2020,41707190,1,42107719
2020,41707195,1,42110274
2020,41707227,1,42107752
2020,41707233,1,42107758
2020,41707247,3,42107773
2020,41702409,1,42107786
2020,41707287,1,42107819
2020,41702439,1,42107818
2020,41707381,1,42107911
2020,41707389,1,42110427
2020,41702511,1,42107918
2020,41702518,1,42110435
2020,41707420,1,42107947
2020,41707433,1,42107958
2020,41707434,1,42107960
2020,41702552,1,42110473
2020,41707454,1,42107980
2020,41707455,1,42107984
2020,41707474,1,42108003
2020,41707466,1,42107997
2020,41707464,1,42110483
2020,41707483,8,42110496
2020,41702583,1,42110504
2020,41702633,1,42110558
2020,41702629,1,42110551
2020,41707559,1,42108085
2020,41707594,3,42110583
2020,41707602,1,42110588
2020,37308104,1,37612656
2020,37308841,1,37621221
2020,37316321,3,37621774
2020,37319723,1,37622100
2020,41717526,1,42120503
2020,37312231,1,37612764
2020,37308327,1,37612763
2020,37308573,1,37620948
2020,41714014,1,42120508
2020,37308845,1,37621226
2020,41714023,1,42119489
2020,37316232,1,37613253
2020,41714057,1,42119526
2020,41714112,1,42119580
2020,37319867,1,37617392
2020,37689181,1,38039976
2020,37689282,1,38029668
2020,37689356,1,38029746
2020,37689361,1,38029750
2020,37696899,1,38040053
2020,37689412,1,38029801
2020,37700572,1,38036260
2020,37689435,1,38029823
2020,37689434,1,38029822
2020,37689441,1,38029829
2020,37689446,2,38029834
2020,37689450,1,38029838
2020,37689463,1,38029849
2020,37689478,3,38029863
2020,37689488,1,38029872
2020,37689494,1,38029877
2020,37689504,1,38029886
2020,37704512,1,38029894
2020,37704514,1,38029896
2020,37704517,1,38029899
2020,37704518,1,38029900
2020,37704520,1,38029902
2020,37704521,1,38029903
2020,37696946,1,38040099
2020,37704522,1,38029904
2020,37704523,1,38029905
2020,37704524,1,38029906
2020,37704525,1,38029907
2020,37704527,1,38029909
2020,37704528,1,38029910
2020,37704539,1,38029921
2020,37704540,1,38029922
2020,37704542,1,38029924
2020,37704543,1,38029925
2020,37704544,1,38029926
2020,37704545,1,38029927
2020,37704546,1,38029928
2020,37704547,1,38029929
2020,37704548,1,38029930
2020,37704549,3,38029931
2020,37704552,1,38044934
2020,37704551,1,38029933
2020,37518319,1,37823155
2020,37523065,1,37825943
2020,37518607,1,37825944
2020,37518644,8,37825991
2020,37689257,1,38029641
2020,37696862,1,38040020
2020,37689326,1,38029712
2020,37689200,1,38029584
2020,37689202,1,38029586
2020,37689213,1,38029599
2020,37689489,1,38036267
2020,37689495,1,38029878
2020,37689501,1,38029883
2020,37689503,7,38029885
2020,37704513,1,38029895
2020,37513809,1,37830933
2020,37513808,1,37830932
2020,37514091,1,37831212
2020,37518707,6,37826054
2020,37524713,1,37831821
2020,37518905,1,37831913
2020,37524820,1,37831912
2020,37523651,1,37826554
2020,37525147,1,37832255
2020,37523823,1,37826715
2020,37525177,1,37832293
2020,37519429,1,37824259
2020,37519428,1,37824258
2020,37518224,1,37823065
2020,37518282,1,37823119
2020,37518782,1,37823626
2020,37524635,1,37831745
2020,37518791,1,37831759
2020,37523296,1,37823655
2020,37523356,1,37826248
2020,37513669,1,37830779
2020,37522603,1,37825490
2020,37513794,1,37830917
2020,37518459,1,37823307
2020,37523208,1,37826082
2020,37523372,1,37826271
2020,37524792,1,37823742
2020,37525066,1,37832160
2020,37523734,1,37826649
2020,37525111,1,37832209
2020,37519164,1,37824001
2020,37523794,1,37826695
2020,37523813,1,37826707
2020,37525238,1,37832361
2020,37523981,1,37826872
2020,37523982,1,37826873
2020,37518176,1,37823025
2020,37518485,1,37823338
2020,37522940,1,37831303
2020,37519490,1,37824324
2020,37524048,1,37826936
2020,37614921,1,37925351
2020,37605415,3,37920484
2020,37615064,1,37925486
2020,37605497,1,37915952
2020,37605593,1,37916047
2020,37523041,1,37825926
2020,37523098,1,37823482
2020,37518643,1,37823497
2020,37700484,1,38036169
2020,37522060,1,37824954
2020,37522098,1,37824988
2020,37517396,1,37822238
2020,37609958,1,37920369
2020,37614956,5,37920389
