"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,136244842,16,40,,153023032
2020,136238570,63,100,,153018926
2020,136244961,63,1200,04-FEB-20,153019001
2020,136245050,13,280,,153023287
2020,136238757,25,200,,153019128
2020,136245100,20,1,,153023348
2020,136245126,20,5,,153019174
2020,136238776,61,450,,153019161
2020,136245126,61,700,,153023377
2020,136238786,61,700,17-DEC-20,153019163
2020,136238800,19,28,,153019193
2020,136238832,63,115,,153019246
2020,136238849,19,135,,153019254
2020,136238811,16,800,,153023412
2020,136238811,63,300,,153023415
2020,136245310,63,135,,153023584
2020,136245310,6,132,,153019350
2020,136238928,20,384,,153019345
2020,136245342,19,151,,153023618
2020,136245462,3,5000,,153023774
2020,136245461,3,5000,30-MAR-20,153019456
2020,136239113,63,1500,,153019562
2020,136239113,6,400,,153019559
2020,136239113,20,3000,,153019561
2020,136245641,11,2,,153023980
2020,136245813,20,900,,153024201
2020,136245641,10,,,153019545
2020,136245641,63,2,,153023982
2020,136245641,13,2,,153023981
2020,136245750,63,1,,153024133
2020,136245750,11,1,,153024131
2020,136245750,10,,,153019680
2020,136245850,67,1,,153024240
2020,128234203,11,20,,142775354
2020,128234203,10,,,142775353
2020,136239357,61,1,,153024311
2020,136239438,63,1,,153019943
2020,136246010,6,11,06-JUN-20,153024421
2020,136246047,63,358,,153019958
2020,136246010,63,358,06-JUN-20,153024422
2020,136246047,6,11,,153024438
2020,136246070,10,,,153019999
2020,136246080,63,1,,153024505
2020,136246148,10,,,153024536
2020,136246164,63,800,,153024597
2020,136249578,19,273,,153024630
2020,136246184,19,273,19-NOV-20,153020099
2020,136239552,20,180,,153024588
2020,136249620,20,4500,,153024683
2020,136246260,11,1,,153020172
2020,136246290,63,1,,153020192
2020,136246318,19,28,20-NOV-20,153020219
2020,128754858,63,1,,143432700
2020,136225515,17,10813,,152999220
2020,136224150,63,1,,152995349
2020,136224150,13,600,,152995347
2020,136225744,19,89,,152995419
2020,136224404,10,,,152995563
2020,136264689,63,300,,153043208
2020,136264709,6,100,,153039598
2020,136264688,63,300,30-MAR-20,153043206
2020,136224301,63,500,,152995511
2020,136268186,63,400,,153048690
2020,136268186,16,1350,,153048689
2020,136224473,10,,,152995737
2020,136224473,11,1,,152995738
2020,136229627,63,1,,152999841
2020,136264695,3,200,,153039584
2020,136264473,11,1,,153046694
2020,136264473,10,,,153046693
2020,136261680,63,150,,153043429
2020,136264967,16,100,,153039882
2020,136268377,8,3,07-JAN-20,153048900
2020,136261757,4,85,,153039953
2020,136261796,7,900,,153043566
2020,136269622,20,42,,153046885
2020,136265212,3,10000,,153040178
2020,136265285,63,5500,,153043787
2020,136263129,4,400,,153045172
2020,136231466,19,96,,153003140
2020,136227398,29,100,,153003123
2020,136269697,35,100,,153049202
