"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41702224,134953684,1,02-JUL-20,1,"N",28,5,22,"M",1,2,"R","","",22,0
2020,41707095,134953769,1,04-JUL-20,1,"N",45,5,53,"F",1,2,"R","","",53,0
2020,41707125,134953833,1,26-DEC-20,1,"N",51,5,22,"F",2,2,"R","","",22,0
2020,41707143,134953889,1,27-DEC-20,2,"N",5,5,31,"M",1,2,"R","","",31,0
2020,41702338,134953928,1,01-SEP-20,2,"N",23,5,26,"F",2,3,"N","","",26,0
2020,41702339,134953928,2,01-SEP-20,2,"N",23,5,27,"M",2,2,"N","","",27,0
2020,41707204,134958467,1,06-NOV-20,2,"N",16,5,42,"F",1,2,"R","","",42,0
2020,41702411,134954076,1,09-SEP-20,1,"N",5,5,23,"M",0,1,"R","","",23,0
2020,41707475,134954439,1,20-APR-20,2,"C",2,5,48,"F",1,2,"R","","",48,0
2020,41827512,135418154,1,23-APR-20,3,"C",16,5,32,"M",2,2,"U","","",32,0
2020,41827468,135421758,1,19-NOV-20,3,"N",32,5,37,"M",2,2,"U","","",37,0
2020,41831087,135421766,1,17-NOV-20,1,"N",16,5,31,"F",1,2,"U","","",31,0
2020,41827625,135421940,1,18-SEP-20,2,"N",47,5,21,"F",2,2,"U","","",21,0
2020,41827687,135418422,1,02-AUG-20,2,"N",51,5,32,"M",2,2,"R","","",32,0
2020,41827777,135422209,1,02-OCT-20,2,"N",47,5,43,"F",2,2,"U","","",43,0
2020,41827801,135422242,1,11-OCT-20,1,"N",16,5,29,"M",1,2,"R","","",29,0
2020,41831311,135418756,1,20-OCT-20,1,"N",5,5,27,"M",1,2,"U","","",27,0
2020,41827846,135422307,1,19-NOV-20,1,"N",51,5,20,"M",1,3,"R","","",20,0
2020,41827859,135422325,1,27-NOV-20,2,"N",51,5,22,"M",2,2,"N","","",22,0
