"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2020,136244058,134966847,4,,
2020,136238114,134966891,4,,
2020,136244100,134966891,1,,
2020,136238139,134962285,4,,
2020,136238140,134962285,7,,
2020,136244160,134962308,7,1,
2020,136238138,134962281,7,,
2020,136238218,134967016,7,,
2020,136238216,134967016,4,,
2020,136238238,134962425,7,,
2020,136238260,134967118,4,,
2020,136244605,134962787,7,,
2020,136244617,134962796,7,,
2020,136238470,134962876,4,,
2020,136244856,134967443,6,,
2020,136244943,134963175,6,,
2020,136245086,134963325,7,,
2020,136245084,134963325,4,,
2020,136245108,134967649,7,,
2020,136238817,134967686,7,,
2020,136245101,134967639,6,,
2020,136245242,134963506,7,,
2020,136245206,134967763,7,,
2020,136238902,134963540,6,,
2020,136245378,134963668,7,,
2020,136245394,134967872,6,,
2020,136239142,134963961,7,,
2020,136245751,134968149,4,,
2020,136239255,134964102,7,,
2020,136245889,134964220,7,,
2020,136239350,134964225,7,,
2020,136245960,134968314,4,,
2020,136239446,134968368,6,,
2020,136246054,134968401,7,,
2020,136239468,134968417,7,,
2020,136251205,134970218,7,,
2020,128742370,126536139,4,,
2020,136251350,134970390,7,,
2020,136248351,134970398,7,,
2020,136248380,134972115,7,,
2020,136248409,134972158,4,,
2020,136251489,134972214,7,,
2020,136251500,134970555,4,,
2020,136251508,134970564,5,,
2020,136251509,134970564,7,,
2020,136251571,134970622,5,,
2020,136251573,134970622,7,,
2020,136251665,134970737,4,,
2020,136248594,134970749,7,,
2020,136251688,134970763,7,,
2020,136251751,134970846,4,,
2020,128743017,126536727,7,,
2020,128743016,126536727,4,,
2020,136248758,134972556,6,,
2020,136248782,134972571,7,,
2020,136251863,134972610,7,,
2020,136251870,134972621,7,,
2020,136248816,134972608,1,,
2020,136248895,134971028,7,,
2020,136248960,134971072,7,,
2020,136251979,134971079,5,,
2020,136248965,134971079,7,,
2020,136249193,134972973,6,,
2020,136249200,134972988,4,,
2020,136249237,134973022,7,,
2020,136252231,134976329,7,,
2020,136252203,134976305,6,,
2020,136249402,134976422,5,,
2020,136249404,134976422,7,,
2020,136252387,134976502,7,,
2020,136252424,134973363,7,,
2020,136252420,134976546,1,,
2020,136249568,134973393,7,,
2020,136252475,134976602,7,,
2020,136254746,134973603,6,,
2020,136254858,134976809,7,,
2020,136252650,134976812,7,,
2020,136254898,134973782,4,,
2020,136254903,134976850,7,,
2020,136252684,134976854,7,,
2020,136254910,134976855,7,,
2020,136252725,134976897,7,,
2020,136255086,134973994,7,,
2020,136252854,134977038,7,,
2020,136252887,134977068,7,,
2020,136252992,134974220,5,,
2020,136255256,134974220,7,,
2020,136253101,134974369,7,,
2020,136253308,134974646,6,,
2020,136253404,134977642,7,,
2020,136255752,134977642,4,,
2020,136255765,134974831,7,,
2020,136255763,134974831,4,,
2020,124243420,121728862,7,,
2020,124237691,121728862,5,,
2020,124238565,121740212,7,,
2020,124238564,121740212,5,,
2020,124250052,121745143,5,,
2020,124246843,121745143,7,,
2020,124250684,121746470,5,,1
2020,124250685,121746470,7,1,
2020,124945527,122517263,7,,
2020,124936994,122509037,4,,
2020,124941101,122509037,7,,
2020,124937078,122509151,7,,
2020,124941352,122509269,7,,
2020,124941351,122509269,5,,
2020,124937225,122509332,7,,
2020,124937224,122509332,5,,
2020,124250936,121751196,7,,
2020,124251256,121751554,6,,
2020,124251326,121751645,6,,
2020,124241663,121741236,7,,
2020,124237581,121728771,7,,
2020,124243256,121743020,6,,
2020,124245761,121739126,7,,
2020,124244177,121739868,6,,
2020,124238480,121744414,7,,
2020,124249808,121744857,5,,
2020,124246638,121744857,7,,
2020,124250091,121730073,6,,
2020,124251389,121747078,6,,
2020,124940736,122512465,4,,
2020,124945747,122508833,4,,
2020,124945748,122508833,7,,
2020,124940941,122512716,6,,
2020,124941061,122509009,6,,
2020,124937043,122509103,7,,
2020,124237000,121741793,1,,
2020,124243654,121743458,3,,
2020,124246490,121740276,6,,
2020,124247148,121730393,7,,
2020,124254737,121746092,5,,1
2020,124254738,121746092,7,1,
2020,124775658,122324411,6,,
2020,124775855,122316007,4,,
2020,124945637,122508660,5,,
2020,124936673,122508660,7,,
2020,124940766,122512509,6,,
2020,124936766,122517465,4,,
2020,124936774,122508777,7,,
2020,124771839,122324341,4,,
2020,124780419,122315776,6,,
2020,124775593,122324377,7,,
2020,124775800,122324484,4,,
2020,124780570,122324518,7,,
2020,124780605,122324557,7,,
2020,124780630,122324580,7,,
2020,124780734,122324701,7,,
2020,124776272,122324724,7,,
2020,124772499,122319909,7,,
2020,124780965,122324931,7,,
2020,124771848,122324355,7,,
2020,124775669,122324418,4,,
2020,124780505,122324460,6,,
2020,124772060,122316051,1,,
2020,137198736,136052509,7,,
2020,137202727,136048443,7,1,
2020,137199242,136048909,7,1,
2020,137199314,136048989,1,,
2020,124772150,122324613,7,,
2020,124776251,122326403,6,,
2020,124780945,122324909,7,,
2020,124780942,122324909,5,,
2020,124772497,122324909,6,,
2020,124772561,122319968,7,,
2020,124780404,122324353,6,,
2020,124780413,122319205,7,,
2020,124775697,122315858,7,,
2020,124775726,122315894,6,,
2020,124780704,122324664,7,,
2020,124780729,122324694,6,,
2020,124776229,122324705,5,,
2020,124780738,122324705,7,,
2020,124776436,122326590,7,1,
2020,124772487,122324896,7,,
2020,124780950,122326800,1,,
2020,124776660,122326830,7,1,
2020,124776657,122326830,5,,1
2020,124781021,122325009,7,,
2020,124772745,122327154,7,,
2020,124772749,122327166,7,,
2020,124777221,122325161,6,,
2020,124781372,122327889,7,1,
2020,124777642,122325402,4,,
2020,124781602,122325672,6,,
2020,124781615,122325689,3,,
2020,124781616,122325689,7,,
2020,124776089,122324637,7,,
2020,124780850,122324826,6,,
2020,124772785,122327232,7,,
2020,124781112,122320230,6,,
2020,124777342,122327568,6,,
2020,124781319,122325333,7,,
2020,124781356,122325376,4,,
2020,124781480,122325529,7,,
2020,124773161,122325620,4,,
2020,124241596,121741183,7,,
2020,124244193,121729334,6,,
2020,124238859,121744930,7,,
2020,124250041,121745133,7,,
2020,124239025,121745133,5,,
2020,124250233,121745362,6,,
2020,124239272,121745461,6,,
2020,124250460,121745631,7,,
2020,124239444,121745692,6,,
2020,124250514,121745703,4,,
2020,124254603,121746478,7,,
2020,124254860,121746759,6,,
2020,124255001,121746928,7,,
2020,124936690,122508677,6,,
2020,124940810,122508778,6,,
2020,124945519,122508496,6,,
2020,124940883,122508846,7,,
2020,124936946,122508963,7,,
2020,124778957,122329420,6,,
2020,124778958,122329421,6,,
2020,124781921,122325995,7,,
2020,124779019,122326018,6,,
2020,124771883,122315797,6,,
2020,124771884,122315797,7,,
2020,124775616,122315799,7,,
2020,124775936,122324555,6,,
2020,124780669,122324627,1,,
2020,124772220,122324660,7,1,
2020,124776244,122324711,5,,
2020,124780743,122324711,7,,
2020,124772572,122324964,6,,
2020,124772703,122320122,6,,
2020,124781052,122325031,7,,
2020,124772746,122327158,5,,
2020,124776960,122327158,7,,
2020,124777002,122327207,6,,
2020,124781149,122325136,7,,
2020,124777391,122325255,7,,
2020,124781367,122327874,7,,
2020,124781447,122325491,7,,
2020,124777750,122325491,4,,
2020,124781494,122325544,7,,
2020,124777847,122328137,7,,
2020,124781523,122325585,6,,
2020,137198856,136052642,6,,
2020,137199005,136052755,1,,
2020,137199196,136048855,7,,
2020,137203044,136049080,7,1,
2020,137199472,136053065,7,,
2020,124940741,122508711,7,,
2020,124936870,122508887,1,,
2020,136248143,134970233,7,,
