data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,5,163645632,15.300,1,14822788
2022,5,153626103,0.900,1,13434755
2022,5,163645586,150.000,1,14822782
2022,12,163645683,1.000,9,14822797
2022,5,163645619,1.000,1,14822786
2022,5,163645533,825.600,1,14822773
2022,12,163645665,7.000,9,14822794
2022,8,163645552,1.000,1,14822779
2022,5,163645635,17.010,1,14822789
2022,5,163645554,27.500,1,14822780
2022,8,163645696,2.000,9,14822798
2022,1,153625572,0.300,1,13434726
2022,5,163645675,1.000,1,14822795
2022,5,153625461,2.000,3,13434711
2022,12,163645702,3.000,9,14822799
2022,5,163646705,14.800,1,14822935
2022,5,153625233,28.800,1,13434694
2022,5,153625985,1.200,1,13434748
2022,5,153625511,0.870,1,13434719
2022,5,163646708,6.520,1,14822936
2022,5,163646788,27.000,1,14822944
2022,5,163646652,1.000,11,14822931
2022,5,153624749,1.000,11,13434681
2022,17,153625145,1.000,1,13434689
2022,5,153624464,2.000,1,13434664
2022,8,165193741,1.000,11,15031864
2022,5,163646536,4.000,1,14822922
2022,5,163646687,5.000,1,14822933
2022,5,153625789,7.500,1,13434736
2022,2,163646744,1.000,11,14822940
2022,12,163646561,5.000,1,14822927
2022,5,163646785,1.000,1,14822943
2022,5,153624055,5.900,1,13434638
2022,5,163646585,29.000,1,14822930
2022,5,163646748,1.500,1,14822941
2022,5,153625383,5.000,1,13434705
2022,5,165193549,5.600,1,15031849
2022,4,163646540,9.570,1,14822923
2022,5,163646565,0.500,1,14822928
2022,5,153625508,55.660,1,13434718
2022,5,163646551,1.000,11,14822926
2022,4,163646694,1.000,7,14822934
2022,8,163646753,12.300,1,14822942
2022,12,165193719,1.600,1,15031862
2022,1,163646660,1.000,11,14822932
2022,5,163646547,1.000,1,14822925
2022,5,149274045,1.000,1,12781117
2022,5,153624113,66.430,1,13434642
2022,5,153624570,0.500,1,13434672
2022,5,153624048,30.170,1,13434637
2022,5,153625637,1.000,1,13434729
2022,5,153625901,0.270,1,13434742
2022,5,153625613,20.450,1,13434727
2022,5,153624327,34.900,1,13434654
2022,5,153625776,14.300,1,13434735
2022,5,153625829,1.000,1,13434739
2022,2,153624493,1.000,1,13434667
2022,5,153624069,4.000,9,13434639
2022,1,153625246,7.200,1,13434695
2022,4,153625407,29.300,1,13434707
2022,5,153625298,28.670,1,13434701
2022,5,153626218,1.000,1,13434761
2022,5,153625479,4.000,1,13434713
2022,5,153624565,84.200,1,13434671
2022,5,153624269,16.600,1,13434648
2022,8,156057594,0.800,1,13789746
2022,5,149274161,2.200,1,12781126
